"Package"	"LibPath"	"Version"	"Priority"	"Depends"	"Imports"	"LinkingTo"	"Suggests"	"Enhances"	"License"	"License_is_FOSS"	"License_restricts_use"	"OS_type"	"MD5sum"	"NeedsCompilation"	"Built"
"forecast"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"8.22.0"	NA	"R (>= 3.5.0),"	"colorspace, fracdiff, generics (>= 0.1.2), ggplot2 (>= 2.2.1),
graphics, lmtest, magrittr, nnet, parallel, Rcpp (>= 0.11.0),
stats, timeDate, tseries, urca, zoo"	"Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)"	"forecTheta, knitr, methods, rmarkdown, rticles, seasonal,
testthat (>= 3.0.0), uroot"	NA	"GPL-3"	NA	NA	NA	NA	"yes"	"4.2.3"
"foreign"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.8-83"	"recommended"	"R (>= 4.0.0)"	"methods, utils, stats"	NA	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.2"
"fpc"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.2-12"	NA	"R (>= 2.0)"	"MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel"	NA	"tclust, pdfCluster, mvtnorm"	NA	"GPL"	NA	NA	NA	NA	"no"	"4.2.3"
"fracdiff"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.5-3"	NA	NA	"stats"	NA	"longmemo, forecast, urca"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.3"
"fs"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.6.0"	NA	"R (>= 3.4)"	"methods"	NA	"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"future"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.33.1"	NA	NA	"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.34.0), utils"	NA	"methods, RhpcBLASctl, R.rsp, markdown"	NA	"LGPL (>= 2.1)"	NA	NA	NA	NA	"no"	"4.2.3"
"future.apply"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.11.1"	NA	"R (>= 3.2.0), future (>= 1.28.0)"	"globals (>= 0.16.1), parallel, utils"	NA	"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.3"
"gargle"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.1"	NA	"R (>= 3.5)"	"cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 1.0.0), rstudioapi,
stats, utils, withr"	NA	"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.1.2)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"generics"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.1.3"	NA	"R (>= 3.2)"	"methods"	NA	"covr, pkgload, testthat (>= 3.0.0), tibble, withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"ggplot2"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.5.0"	NA	"R (>= 3.5)"	"cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.3.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)"	NA	"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, mapproj,
maps, multcomp, munsell, nlme, profvis, quantreg, ragg (>=
1.2.6), RColorBrewer, rmarkdown, rpart, sf (>= 0.7-3), svglite
(>= 2.1.2), testthat (>= 3.1.2), vdiffr (>= 1.0.6), xml2"	"sp"	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.3"
"ggpubr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.6.0"	NA	"R (>= 3.1.0), ggplot2 (>= 3.4.0)"	"ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=
1.3.0), purrr, dplyr (>= 0.7.1), cowplot (>= 1.1.1), ggsignif,
scales, gridExtra, glue, polynom, rlang (>= 0.4.6), rstatix (>=
0.7.2), tibble, magrittr"	NA	"grDevices, knitr, RColorBrewer, gtable, testthat"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.0"
"ggrepel"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.9.5"	NA	"R (>= 3.0.0), ggplot2 (>= 2.2.0)"	"grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)"	"Rcpp"	"knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra, ggpp,
patchwork, devtools, prettydoc, ggbeeswarm, dplyr, magrittr,
readr, stringr"	NA	"GPL-3 | file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"ggsci"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.0.3"	NA	"R (>= 3.5.0)"	"ggplot2 (>= 2.0.0), grDevices, scales"	NA	"gridExtra, knitr, ragg, reshape2, rmarkdown"	NA	"GPL (>= 3)"	NA	NA	NA	NA	"no"	"4.2.3"
"ggsignif"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.6.4"	NA	NA	"ggplot2 (>= 3.3.5)"	NA	"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)"	NA	"GPL-3 | file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"globals"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.16.3"	NA	"R (>= 3.1.2)"	"codetools"	NA	NA	NA	"LGPL (>= 2.1)"	NA	NA	NA	NA	"no"	"4.2.3"
"glue"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.6.2"	NA	"R (>= 3.4)"	"methods"	NA	"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"googledrive"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.0.0"	NA	"R (>= 3.3)"	"cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr"	NA	"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"googlesheets4"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.1"	NA	"R (>= 3.4)"	"cellranger, cli (>= 3.0.0), curl, gargle (>= 1.2.0), glue (>=
1.3.0), googledrive (>= 2.0.0), httr, ids, magrittr, methods,
purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)"	NA	"covr, readr, rmarkdown, sodium, spelling, testthat (>=
3.1.3), withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"gower"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.1"	NA	NA	NA	NA	"tinytest (>= 0.9.3),"	NA	"GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
"graphics"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	"grDevices"	NA	NA	NA	"Part of R 4.2.2"	NA	NA	NA	NA	"yes"	"4.2.2"
"grDevices"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	NA	NA	"KernSmooth"	NA	"Part of R 4.2.2"	NA	NA	NA	NA	"yes"	"4.2.2"
"grid"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	"grDevices, utils"	NA	NA	NA	"Part of R 4.2.2"	NA	NA	NA	NA	"yes"	"4.2.2"
"gridExtra"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.3"	NA	NA	"gtable, grid, grDevices, graphics, utils"	NA	"ggplot2, egg, lattice, knitr, testthat"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.0"
"gtable"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.3.1"	NA	"R (>= 3.0)"	"grid"	NA	"covr, testthat, knitr, rmarkdown, ggplot2, profvis"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"hardhat"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.3.1"	NA	"R (>= 3.5.0)"	"cli (>= 3.6.0), glue (>= 1.6.2), rlang (>= 1.1.0), tibble (>=
3.2.1), vctrs (>= 0.6.0)"	NA	"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 1.0.5), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.3"
"haven"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.5.1"	NA	"R (>= 3.4)"	"cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)"	"cpp11"	"covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"here"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.1"	NA	NA	"rprojroot (>= 2.0.2)"	NA	"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"highr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.10"	NA	"R (>= 3.3.0)"	"xfun (>= 0.18)"	NA	"knitr, markdown, testit"	NA	"GPL"	NA	NA	NA	NA	"no"	"4.2.0"
"hms"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1.2"	NA	NA	"ellipsis (>= 0.3.2), lifecycle, methods, pkgconfig, rlang,
vctrs (>= 0.3.8)"	NA	"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"htmltools"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.5.7"	NA	"R (>= 2.14.1)"	"base64enc, digest, ellipsis, fastmap (>= 1.1.0), grDevices,
rlang (>= 1.0.0), utils"	NA	"Cairo, markdown, ragg, shiny, testthat, withr"	"knitr"	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"htmlwidgets"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.6.4"	NA	NA	"grDevices, htmltools (>= 0.5.7), jsonlite (>= 0.9.16), knitr
(>= 1.8), rmarkdown, yaml"	NA	"testthat"	"shiny (>= 1.1)"	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.3"
"httpuv"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.6.14"	NA	"R (>= 2.15.1)"	"later (>= 0.8.0), promises, R6, Rcpp (>= 1.0.7), utils"	"later, Rcpp"	"callr, curl, testthat, websocket"	NA	"GPL (>= 2) | file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"httr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.4.7"	NA	"R (>= 3.5)"	"curl (>= 5.0.2), jsonlite, mime, openssl (>= 0.8), R6"	NA	"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"ids"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.1"	NA	NA	"openssl, uuid"	NA	"knitr, rcorpora, rmarkdown, testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"ipred"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.9-14"	NA	"R (>= 2.10)"	"rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim"	NA	"mvtnorm, mlbench, TH.data, randomForest, party"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"isoband"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.2.7"	NA	NA	"grid, utils"	NA	"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"iterators"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.14"	NA	"R (>= 2.5.0), utils"	NA	NA	"RUnit, foreach"	NA	"Apache License (== 2.0)"	NA	NA	NA	NA	"no"	"4.2.0"
"janitor"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.2.0"	NA	"R (>= 3.1.2)"	"dplyr (>= 1.0.0), hms, lifecycle, lubridate, magrittr, purrr,
rlang, stringi, stringr, snakecase (>= 0.9.2), tidyselect (>=
1.0.0), tidyr (>= 0.7.0)"	NA	"dbplyr, knitr, rmarkdown, RSQLite, sf, testthat (>= 3.0.0),
tibble, tidygraph"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"jquerylib"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.1.4"	NA	NA	"htmltools"	NA	"testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"jsonlite"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.8.8"	NA	"methods"	NA	NA	"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"kableExtra"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.3.4"	NA	"R (>= 3.1.0)"	"knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest,
graphics, svglite"	NA	"testthat, magick, formattable, sparkline"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"keras"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.13.0"	NA	"R (>= 3.6)"	"generics (>= 0.0.1), reticulate (>= 1.31), tensorflow (>=
2.8.0), tfruns (>= 1.0), magrittr, zeallot, glue, methods, R6,
rlang"	NA	"ggplot2, testthat (>= 2.1.0), knitr, rmarkdown, callr,
tfdatasets, withr, png, jpeg"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"kernlab"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.9-32"	NA	"R (>= 2.10)"	"methods, stats, grDevices, graphics"	NA	NA	NA	"GPL-2"	NA	NA	NA	NA	"yes"	"4.2.0"
"KernSmooth"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.23-20"	"recommended"	"R (>= 2.5.0), stats"	NA	NA	"MASS, carData"	NA	"Unlimited"	NA	NA	NA	NA	"yes"	"4.2.2"
"knitr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.41"	NA	"R (>= 3.3.0)"	"evaluate (>= 0.15), highr, methods, stringr (>= 0.6), yaml (>=
2.1.19), xfun (>= 0.34), tools"	NA	"markdown (>= 1.3), formatR, testit, digest, rgl (>=
0.95.1201), codetools, rmarkdown, htmlwidgets (>= 0.7),
webshot, tikzDevice (>= 0.10), tinytex, reticulate (>= 1.4),
JuliaCall (>= 0.11.1), magick, png, jpeg, gifski, xml2 (>=
1.2.0), httr, DBI (>= 0.4-1), showtext, tibble, sass, bslib,
ragg, gridSVG, styler (>= 1.2.0), targets (>= 0.6.0)"	NA	"GPL"	NA	NA	NA	NA	"no"	"4.2.0"
"labeling"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.4.2"	NA	NA	"stats, graphics"	NA	NA	NA	"MIT + file LICENSE | Unlimited"	NA	NA	NA	NA	"no"	"4.2.0"
"later"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.3.2"	NA	NA	"Rcpp (>= 0.12.9), rlang"	"Rcpp"	"knitr, rmarkdown, testthat (>= 2.1.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"lattice"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.20-45"	"recommended"	"R (>= 3.0.0)"	"grid, grDevices, graphics, stats, utils"	NA	"KernSmooth, MASS, latticeExtra"	"chron"	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.2"
"lava"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.8.0"	NA	"R (>= 3.0)"	"cli, future.apply, graphics, grDevices, methods, numDeriv,
progressr, stats, survival, SQUAREM, utils"	NA	"KernSmooth, Rgraphviz, data.table, ellipse, fields, geepack,
graph, knitr, rmarkdown, igraph (>= 0.6), lavaSearch2, lme4 (>=
1.1.35.1), MASS, Matrix (>= 1.6.3), mets (>= 1.1), nlme,
optimx, polycor, quantreg, rgl, targeted (>= 0.4), testthat (>=
0.11), visNetwork"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.3"
"lazyeval"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.2.2"	NA	"R (>= 3.1.0)"	NA	NA	"knitr, rmarkdown (>= 0.2.65), testthat, covr"	NA	"GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
"leaps"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.1"	NA	""	NA	NA	"biglm"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"lifecycle"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.3"	NA	"R (>= 3.4)"	"cli (>= 3.4.0), glue, rlang (>= 1.0.6)"	NA	"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"listenv"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.9.1"	NA	"R (>= 3.1.2)"	NA	NA	"R.utils, R.rsp, markdown"	NA	"LGPL (>= 2.1)"	NA	NA	NA	NA	"no"	"4.2.3"
"lme4"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1-35.1"	NA	"R (>= 3.5.0), Matrix (>= 1.2-1), methods, stats"	"graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)"	"Rcpp (>= 0.10.5), RcppEigen (>= 0.3.3.9.4), Matrix"	"knitr, rmarkdown, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble,
merDeriv"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.3"
"lmtest"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.9-40"	NA	"R (>= 3.0.0), stats, zoo"	"graphics"	NA	"car, strucchange, sandwich, dynlm, stats4, survival, AER"	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
"locpol"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.8.0"	NA	"R (>= 2.5.0), graphics, stats"	NA	NA	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"longitudinalData"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.4.5.1"	NA	"methods,clv,class,rgl,utils,misc3d"	NA	NA	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.3"
"lubridate"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.9.3"	NA	"methods, R (>= 3.2)"	"generics, timechange (>= 0.1.1)"	NA	"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)"	"chron, data.table, timeDate, tis, zoo"	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"magrittr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.0.3"	NA	"R (>= 3.4.0)"	NA	NA	"covr, knitr, rlang, rmarkdown, testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"markdown"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.5"	NA	"R (>= 2.11.1)"	"utils, commonmark, xfun (>= 0.35)"	NA	"knitr, rmarkdown (>= 2.18), yaml, RCurl"	NA	"GPL-2"	NA	NA	NA	NA	"no"	"4.2.2"
"MASS"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"7.3-60.0.1"	"recommended"	"R (>= 4.0), grDevices, graphics, stats, utils"	"methods"	NA	"lattice, nlme, nnet, survival"	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.3"
"Matrix"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.6-5"	"recommended"	"R (>= 3.5.0), methods"	"grDevices, graphics, grid, lattice, stats, utils"	NA	"MASS, datasets, sfsmisc, tools"	"SparseM, graph"	"GPL (>= 2) | file LICENCE"	NA	NA	NA	NA	"yes"	"4.2.3"
"MatrixModels"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.5-3"	NA	"R (>= 3.6.0)"	"stats, methods, Matrix (>= 1.6-0)"	NA	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.3"
"mclust"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"6.1"	NA	"R (>= 3.0)"	"stats, utils, graphics, grDevices"	NA	"knitr (>= 1.4), rmarkdown (>= 2.10), mix (>= 1.0), geometry
(>= 0.4), MASS"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.3"
"memoise"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.0.1"	NA	NA	"rlang (>= 0.4.10), cachem"	NA	"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"methods"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	"utils, stats"	NA	"codetools"	NA	"Part of R 4.2.2"	NA	NA	NA	NA	"yes"	"4.2.2"
"mgcv"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.8-41"	"recommended"	"R (>= 3.6.0), nlme (>= 3.1-64)"	"methods, stats, graphics, Matrix, splines, utils"	NA	"parallel, survival, MASS"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.2"
"mime"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.12"	NA	NA	"tools"	NA	NA	NA	"GPL"	NA	NA	NA	NA	"yes"	"4.2.0"
"minqa"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.6"	NA	NA	"Rcpp (>= 0.9.10)"	"Rcpp"	NA	NA	"GPL-2"	NA	NA	NA	NA	"yes"	"4.2.0"
"misc3d"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.9-1"	NA	NA	"grDevices, graphics, stats, tcltk"	NA	"rgl, tkrplot, MASS"	NA	"GPL"	NA	NA	NA	NA	"no"	"4.2.0"
"ModelMetrics"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.2.2"	NA	"R (>= 3.2.2)"	"Rcpp, data.table"	"Rcpp"	"testthat"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"modelr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.1.10"	NA	"R (>= 3.2)"	"broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs"	NA	"compiler, covr, ggplot2, testthat (>= 3.0.0)"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.0"
"modeltools"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.2-23"	NA	"stats, stats4"	"methods"	NA	NA	NA	"GPL-2"	NA	NA	NA	NA	"no"	"4.2.0"
"multcompView"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.1-10"	NA	NA	"grid"	NA	"multcomp, pgirmess, MASS"	NA	"GPL"	NA	NA	NA	NA	"no"	"4.2.3"
"munsell"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.5.0"	NA	NA	"colorspace, methods"	NA	"ggplot2, testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"mvtnorm"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2-4"	NA	"R(>= 3.5.0)"	"stats"	NA	"qrng, numDeriv"	NA	"GPL-2"	NA	NA	NA	NA	"yes"	"4.2.3"
"nlme"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.1-160"	"recommended"	"R (>= 3.5.0)"	"graphics, stats, utils, lattice"	NA	"Hmisc, MASS, SASmixed"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.2"
"nloptr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.0.3"	NA	NA	NA	"testthat"	"knitr, rmarkdown, xml2, testthat (>= 3.0.0), covr"	NA	"LGPL (>= 3)"	NA	NA	NA	NA	"yes"	"4.2.0"
"nnet"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"7.3-18"	"recommended"	"R (>= 3.0.0), stats, utils"	NA	NA	"MASS"	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.2"
"numDeriv"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2016.8-1.1"	NA	"R (>= 2.11.1)"	NA	NA	NA	NA	"GPL-2"	NA	NA	NA	NA	"no"	"4.2.0"
